"2012","서울특별시 강서구","미얀마","외국인주민세대수","1"
"2014","서울특별시 강서구","영국","외국인주민세대수","12"
"2014","서울특별시 강서구","일본","외국인주민세대수","172"
"2014","서울특별시 강서구","모로코","외국인주민세대수","1"
"2014","서울특별시 강서구","홍콩","외국인주민세대수","5"
"2013","서울특별시 강서구","과테말라","외국인주민세대수","1"
"2013","서울특별시 강서구","무국적","외국인주민세대수","1"
"2013","서울특별시 강서구","싱가포르","외국인주민세대수","1"
"2013","서울특별시 금천구","방글라데시","외국인주민세대수","5"
"2013","서울특별시 금천구","미국","외국인주민세대수","7"
"2013","서울특별시 금천구","페루","외국인주민세대수","3"
"2012","서울특별시 구로구","캐나다","외국인주민세대수","8"
"2012","서울특별시 구로구","폴란드","외국인주민세대수","1"
"2012","서울특별시 구로구","필리핀","외국인주민세대수","72"
"2014","서울특별시 금천구","싱가포르","외국인주민세대수","2"
"2014","서울특별시 금천구","터키","외국인주민세대수","1"
"2014","서울특별시 금천구","네팔","외국인주민세대수","13"
"2014","서울특별시 금천구","중국(한국계)","외국인주민세대수","2506"
"2014","서울특별시 금천구","멕시코","외국인주민세대수","1"
"2014","서울특별시 금천구","키르기스스탄","외국인주민세대수","2"
"2012","서울특별시 구로구","인도","외국인주민세대수","1"
"2012","서울특별시 금천구","러시아(연방)","외국인주민세대수","5"
"2013","서울특별시 구로구","중국","외국인주민세대수","1063"
"2013","서울특별시 구로구","미국","외국인주민세대수","25"
"2013","서울특별시 구로구","말레이시아","외국인주민세대수","5"
"2013","서울특별시 구로구","카자흐스탄","외국인주민세대수","2"
"2013","서울특별시 구로구","인도네시아","외국인주민세대수","9"
"2013","서울특별시 구로구","네팔","외국인주민세대수","4"
"2013","서울특별시 구로구","러시아(한국계)","외국인주민세대수","1"
"2013","서울특별시 구로구","홍콩","외국인주민세대수","3"
"2013","서울특별시 구로구","스위스","외국인주민세대수","1"
"2014","서울특별시 구로구","우즈베키스탄","외국인주민세대수","17"
"2014","서울특별시 구로구","타이","외국인주민세대수","17"
"2014","서울특별시 구로구","일본","외국인주민세대수","126"
"2014","서울특별시 구로구","몽골","외국인주민세대수","12"
"2012","서울특별시 영등포구","베트남","외국인주민세대수","222"
"2013","서울특별시 동작구","타이","외국인주민세대수","10"
"2013","서울특별시 동작구","캄보디아","외국인주민세대수","15"
"2013","서울특별시 동작구","우즈베키스탄","외국인주민세대수","11"
"2013","서울특별시 동작구","인도네시아","외국인주민세대수","4"
"2014","서울특별시 동작구","일본","외국인주민세대수","100"
"2014","서울특별시 동작구","아르헨티나","외국인주민세대수","1"
"2014","서울특별시 동작구","키르기스스탄","외국인주민세대수","4"
"2014","서울특별시 동작구","방글라데시","외국인주민세대수","2"
"2013","서울특별시 동작구","영국","외국인주민세대수","7"
"2013","서울특별시 동작구","이탈리아","외국인주민세대수","1"
"2014","서울특별시 동작구","인도네시아","외국인주민세대수","2"
"2014","서울특별시 동작구","홍콩","외국인주민세대수","3"
"2014","서울특별시 동작구","스페인","외국인주민세대수","1"
